t,P
0,0.9504950495049513
6.599782901878228,4.277227722772267
9.236538271767373,6.178217821782155
13.204828788526697,7.841584158415827
15.838952666030735,9.980198019801975
19.812506167560272,11.168316831683143
23.778165191934477,13.06930693069306
27.73592973915332,15.683168316831669
35.01069043781453,18.772277227722768
40.294727147133315,21.623762376237607
42.93148251702246,23.52475247524751
46.89451004901153,25.663366336633658
50.85622183480808,27.920792079207942
54.8205651129897,29.94059405940594
58.11914081773622,32.079207920792044
62.741357192197626,34.69306930693068
68.68721423637379,37.782178217821766
73.9765139304628,40.158415841584144
78.59609881253905,43.009900990099
81.2223282128877,45.86138613861385
85.51758165849813,47.999999999999986
89.80757211933815,50.613861386138595
94.43505147856976,52.75247524752473
97.73362718331632,54.891089108910876
101.69139173053517,57.504950495049485
104.98470445051149,60.11881188118811
108.28064866287295,62.49504950495049
112.91339100687478,64.15841584158414
117.20469721390748,66.65346534653463
121.16114601493373,69.38613861386138
125.45113647577378,71.99999999999999
129.41416400776288,74.13861386138612
133.3692970625966,76.99009900990097
139.64738002039408,80.07920792079207
144.60182230847676,82.69306930693068
152.53840334199532,86.019801980198
159.15660669056936,88.39603960396039
165.76691556198807,91.48514851485146
173.71139107266205,94.09900990099008
182.3255813953488,96.23762376237622
192.26604388013553,98.6138613861386
203.54593598894772,100.0
218.8204335383704,100.0
238.08164205124828,100.0
259.3467320153942,100.0
283.2669977961251,100.0
311.8357948751685,100.0
353.03443965659017,100.0
402.8656952073944,100.0
448.04578796750104,100.0
493.2337752047629,100.0
521.8052037761914,100.0
