Time,Pressure
190.9726087978429, 1.7436473710348395
388.2872483650432, 3.5380253049790387
591.6421320006269, 5.427071667155175
792.98360094675, 7.428797892694632
994.3250698928726, 8.957249723194515
1209.427342974228, 8.851803033179708
1414.1857353520186, 8.789659570503964
1604.991601881582, 8.737923912692425
1809.7779973217876, 8.69666606740113
2009.9368866979298, 8.676282171551614
2210.123779136487, 8.676783893086547
2405.627159386151, 8.656388329294359
2610.4695609511864, 8.656901718771966
2806.000944263265, 8.657391772364225
3006.1738351706153, 8.647450685206934
3215.6857473933355, 8.65841855131944
3411.217130705415, 8.6589086049117
3611.404023143972, 8.659410326446633
3811.5909155825293, 8.659912047981567
4004.3920003091544, 6.624054406589904
4206.504103288737, 4.588220101083587
4404.212724703574, 2.7403446840946515
4615.778346239945, 1.0177596355270744
