Time,Mass
208.62824401752619, 0.0024185993633469745
410.8527131782946, 0.004794679399727147
608.8641725648804, 0.007149916628770653
806.8756319514662, 0.009400939821130817
1004.887091338052, 0.010984993178717598
1207.1115604988204, 0.011047521600727604
1409.3360296595888, 0.011089207215400939
1603.134479271992, 0.011068364408064272
1801.145938658578, 0.011089207215400939
2007.5834175935288, 0.011130892830074277
2188.742837883384, 0.011089207215400939
2407.8193461408828, 0.011151735637410945
2605.8308055274683, 0.011130892830074277
2808.055274688237, 0.011110050022737607
3001.853724300639, 0.011120471426405943
3204.0781934614092, 0.011130892830074277
3397.876643073812, 0.011130892830074277
3604.3141220087623, 0.011089207215400939
3806.5385911695316, 0.011151735637410945
4008.7630603303, 0.009067454903744126
4198.34850016852, 0.006670532060027282
4400.572969329289, 0.004106866757617098
4594.371418941691, 0.001459830225860239
