Time,Temperature
1059.1066232445964, 310.18369706653544
1212.890913979436, 308.6508424206974
1362.4592122616973, 307.3867628178103
1507.811518091381, 306.39145825787415
1657.512394752654, 305.6648734998978
1807.2331581707795, 305.01891296865796
1961.2627189067912, 304.4804237859047
2106.7608609533872, 304.07636355537034
2256.5611713989197, 303.75289993107697
2402.09245804027, 303.4832134117703
2556.2148236415896, 303.3209706204545
2701.7726259587407, 303.1587830701299
2855.908249397962, 303.0502897633052
3005.76822011405, 302.96869881922163
3159.9038435532707, 302.86020551239693
3305.4749037083243, 302.75176744656346
3455.3481322623134, 302.7239259869709
3600.9390791742176, 302.6961121478741
3759.3834999313244, 302.69509018953585
