Time,Mass
215.3690596562185, 0.004181900864029104
412.53791708796757, 0.008258753979081402
609.7067745197169, 0.0123856298317417
806.875631951466, 0.016437471577989995
998.9888776541961, 0.01956389267849022
1206.2689585439834, 0.01956389267849022
1408.4934277047519, 0.019538881309686222
1600.6066734074825, 0.01956389267849022
1792.7199191102118, 0.01956389267849022
2003.370407819346, 0.01957222980142489
2209.8078867542968, 0.01957222980142489
2403.6063363667004, 0.019593072608761558
2597.4047859791035, 0.019551386994088222
2799.629255139872, 0.01957222980142489
3001.85372430064, 0.019551386994088222
3208.291203235591, 0.019593072608761558
3397.876643073812, 0.019593072608761558
3591.6750926862155, 0.01957222980142489
3798.112571621166, 0.01957222980142489
3996.1240310077524, 0.015716310444141277
4198.34850016852, 0.011360163710777626
4392.146949780923, 0.0070040169774139745
4602.797438490057, 0.002627027436713659
