Time,Mass
1203.6108324974925, 0.009
1408.2246740220662, 0.009
1606.8204613841526, 0.009
1805.4162487462386, 0.009
1997.9939819458373, 0.009
2208.6258776328987, 0.009
2395.18555667001, 0.009
2605.817452357071, 0.009
2798.39518555667, 0.009
2996.990972918756, 0.009

