Time,Mass
204.41523424334355, 0.0017933151432469284
406.63970340411197, 0.003481582537517052
604.6511627906978, 0.005211535546460512
811.0886417256488, 0.00708738820676065
1004.887091338052, 0.008525541912990752
1207.1115604988204, 0.008525541912990752
1409.3360296595888, 0.008442170683644081
1611.5604988203572, 0.008483856298317416
1813.784967981126, 0.008421327876307411
2011.7964273677117, 0.008463013490980748
2205.594876980115, 0.008421327876307411
2407.8193461408828, 0.008463013490980748
2605.8308055274683, 0.008421327876307411
2803.8422649140543, 0.008463013490980748
2997.640714526458, 0.008463013490980748
3204.0781934614092, 0.008463013490980748
3402.089652847995, 0.008442170683644081
3604.3141220087623, 0.008483856298317416
3798.112571621166, 0.008442170683644081
4000.3370407819343, 0.0066080036380172825
4202.561509942703, 0.004627936941033802
4396.359959555106, 0.0027937698954070035
4602.797438490057, 0.0010638168864635436
